After he failed to pass the test he abandoned hope of learning,Usuk aqayyaarel balaalek sarra barittok yobboode /,,,,yuqdure
The nurse did not abandon hope of saving the child’s life,adaawissa biyaakita awka wadduh abtamacalak mabboodinna / maqduurinna,,,,
"When the storm abates, we will set out",Kaxxa rob baggisa / fakisa waqdi safarenno,,,,
The floods abated after three hours Weeqi sidiica saaqatih lakal salace,His anxiety has abated Luk suge bohoy kaak salaceh,,,,
Some people abbreviate certain words when writing,Sinaamak baali yaktube waqdi qangooruk tu uxuxxoysah,,,,
"Abbreviation of words is only appropriate in writing, not in speech",Qangara uxuxxus dibuk kutbel akke waytek yaabat mabicta,,,,
The abdomen is an important part of the body between the chest and the pelvic region,"Bagi xagarak faxximtah tan exxay, alil kee salcek fanat raqta",,,,
He had an abdominal operation,Usuk bagi garuq le,,,,
The watchmen aided and abetted the thieves,Wardiyayti garaaqah qokol kee umammariinol cato yekke,,,,
I abhor cruelty to animals,Anu alluwwal ceele wayto baahaanam kaxxam anqibe ,,,,
The new teacher has great ability,Qusbih yemeete kabir kaxxa duddo le,,,,
The wooden house was quickly ablaze,Luucaan qarit gira xayuk habuubugutteh,,,,
Are you able to help me?,Yoo cattu maay dudda?,,,,
He is more able than his brother, Usuk isi toobokoytak gìffa-inta duddo le,,,,
Is the child mentally abnormal?,Awkak moyya qaaxak ane maay wayta?,,,,
He was abnormal ,Usuk qaaxak mananna,,,,
The Xray shows abnormality ,Xagar raadiyo qaaxak ane wayti taybulle,,,,
They abolished slavery in Britain in 1833 ,Biritaanyal naqoosannu sanat 1833 bayiseenih,,,,
The workers agitated for the abolition of unnecessary restrictions laid on them ,Taama mari keenil heen faxxiime waa waadoh baysal uguugus abe,,,,
The service in some offices is abominable, Biiroorak baalil aban taama sakkiktene,,,,
The maltreatment of domestic animals is abominable, Qafaarite lacal aban ganaysaqo sakkik taniimi,,,,
The sick woman aborted ,Biyaakitta barrak xalay baxaqeh,,,,
They aborted the space flight ,Oson qaran fanih gexohhaad baxaqisen ,,,,
Abortion of the attempted coup failed ,Doolatkoro gabbatih baxaq makkinna,,,,
The soldier talked about the war,Qaskariiti carbit yaabeh,,,,
his wife also talked about it,kay barra kaadu edde yabteh;,,,,
"He was going about our business today, and so was I ","Usuk ni caagidit aseh, anuy, kaadu edde ase",,,,
What are you talking about?,Edde yabtam macay?  ,,,,
I am talking about you, Anu kot yaaba,,,,
Bring me my stick and be quick about it!," Edde isissikay, yi caxxa yoh bah!",,,,
There were about ten people present ,Tabanta yakke mari suge,,,,
He received about double the amount ,Usuk duyyek namma afto kabba-haytem gee,,,,
A girl of about my daughter’s size / age / build came, Yi baxah ceebah tan awka temeete,,,,
She must be somewhere about!, Is aracak ulikkel tanim faxximta!,,,,
"When he heard the order, he made an about-face ","Amri yoobbe waqdi, yenkeleelebe",,,,
Arta is a town above sea level ,Qarta baddi caddok fayya luk raqta magaala,,,,
The plane flew above the clouds, Tayyaara qamburrek dagah / iroh haadde,,,,
The lady called to us from above ,Barra fayyak neh secte ,,,,
dagà raaqa Read the sentence above!,Daga raqta maxco ikriy!,,,,
Don’t abrade the surface of the table!,Miidik bagu macokoxin!,,,,
He suffered abrasions when he fell ,Usuk yinnikisse waqdi musuq / suxxuq luk raaqe,,,,
The soldiers marched four abreast, Qaskar fereereyil sunkaasunkuh ibiilot gexxe,,,,
The nurse went abroad for her training ,Madaawissa barbaritih afa baaxo gexxe,,,,
Our trip abroad was good, Afa baaxo abne gexo temqe,,,,
The news soon spread abroad ,Xaagi xayuk iroh fixixe,,,,
The meeting came to an abrupt end ,Daffeyna cube waak fixixxe,,,,
This doctor has an abrupt manner ,A daktoor gibdi qangara,,,,
Our camel has an abscess on its foot, Nì rakub ibat gindo le,,,,
The abscess on his gums burst, Riqidil kaak suge aweqti bakaqeh,,,,
The vet lanced the abscess on the goat’s neck ,Saqi daktoor reyta fillal suge ofon gilet bakqise,,,,
"The treasurer absconded with 500,000 francs",Oloyabbixi koona boolih alfih faranka luk baade,,,,
His absence went unnoticed ,Kay anewayti / deedal / raqti num macubbusinna,,,,
He has been absent from home for a long time," Usuk isi buxak cerritay, kibuh yan",,,,
A regular absentee loses his place in the school,Barittok gabaak raaqa num barittot arac is waysiisa,,,,
That’s absolute nonsense! ,Wohum hunun maqna maliino,,,,
You and I agree absolutely, Koo kee yoo inkikabuuk titta geyna,,,,
He was absolutely right, Usuk inkitanih gitat suge,,,,
That is absolutely impossible!,Wohu  inkinnah takkem hinna!,,,,
"As she broke the law in ignorance, they absolved her ",Is madqat iggimah teeqetem aaxaguk qafu teetih aben,,,,
The skin (body) absorbed the ointment ,Xagar sukati fuuqeh,,,,
This book absorbed me ,A buuk hangi yok bee,,,,
I was absorbed in this book ,Anu a buukih kiriyaatit untuxxuqume,,,,
This cloth has little power of absorption ,A saro fuuqo xayuk mabta,,,,
Her absorption in her work allows no time for other things, Is isi taamat le hangi kaliimih wakti mayaca,,,,
I made an abstract of the book I chose, Anu doorite buukuk ayxaxxos eyyeeqe,,,,
I became abstracted ,Anu inni badal suge,,,,
Thirst is an abstract noun ,Bakar deqsitta qangara qellitaamih migaaqa,,,,
His idea is absurd ,Kay fikrat maqna mali,,,,
Red Sea has an abundance of fish ,Qasa bad kullum mangintale,,,,
They prepared an abundance of food for that wedding,Woo digibih faxximtaamak biso le maaqidda bicisen,,,,
Following rain the grass was abundant, Rob radeek widiril qayso rekaq teelle,,,,
It is not right to abuse the present he received  ,Usuk gee acwa ilaqam gita hinna,,,,
they abused me in what they said, Yaàbat yoo xagiten,,,,
Drugs are an abuse against the person ,Kas muda coox sahdaytul uma abto yakke,,,,
Child abuse is not permitted ,Urri ganaysaqo midnisan,,,,
He finally acceded to my request, Illacaboh anù kaal esserem  oggole,,,,
"When his father died, he acceded to the throne",Kay abba elle rabe-ikkel qarkaytol usuk dardaare,,,,
"When a man called to me to stop the car, I accelerated more than before","Num baabur soolisam yok essere waqdi, duma elle beyak sugennak tet iysissike",,,,
My car has poor acceleration, Yi baabur aysassak qilsa le,,,,
The mark put over a vowel is an accent ,Yangayye amot haan asta xukkoh asta xiqsitta,,,,
It is known by her accent that she is from the north ,Kilbatti barra kinnim qangara korsal teetik tamixxige,,,,
In his speech the old man accentuated every word he spoke ,Idalti edde yaabe yaabak uummaan qangarat xukkutak yaabe,,,,
My mother in-law accepted me as a member of the family ,Yi ballo buxa numuh yoo loowitte,,,,
I accepted his decision ,Anu usuk edde cabem oggoleh,,,,
This kind of behaviour is acceptable, Ànna le gexgexit oggolsimah,,,,
Their bad behaviour has no acceptance with us, Ken uma gexgexit ni garil arac / oggol mali,,,,
On the day of his accession they crowned him ,Usuk dardaarinnu gee saaku xinto kalawta kaah heen,,,,
This book is a good accession to my library, A buuk yi maktabah meqe ossontina,,,,
Omar died in a bad accident ,Qumar uma qawwalaylat rabe,,,,
His death was accidental ,Kay rabi qawwalaylah tekkeemi,,,,
"The defendant said to the court “I didn’t want to kill my wife, it happened accidentally”","Kalsitaf makaabon garil “Anu inni barra qidam faxak masuginniyoy, qawwalaylah tekkeemi” iyye",,,,
"Because I am used to the climate of a high altitude, I shall quickly acclimatize to Addis Ababa"," Anu fàyya-inta baaxoh hawaaaxigeemih sabbatah, Addis Ababah hawa xayuk xiqeyyo",,,,
"Because Djibouti is a humid country, acclimatization is difficult ",Yabuuti hawaddimco le baaxo kinniimih sabbatah hawaxxiq akak gibdih,,,,
That family accommodated me in their home with warm hearts ,Woo buxah mari farcil isinni dabqil arac yoh abe,,,,
Did you find suitable accommodation?, Kot bica guub maay geyte?,,,,
The bridegroom’s party accompany the bridegroom  ,Waraddi qarus waklisa,,,,
A cheque accompanied the letter I received ,Anu gee gawaab lih banki siik yemeete,,,,
A drum is a good accompaniment to dancing, Robbiyok lamtoh lukgexa karambo aysuk raqta,,,,
We worked to the accompaniment of children’s noise ,Urri wexxeqtoh addatelle taamitne,,,,
"When the thief is at work, his accomplice guards him and keeps a look out ","Garqi garqa aba waqdi, kay qaxoyti deraafi kaah dacrisa",,,,
accomplished my aims Innih faxem ugdubeh   I didn’t accomplish all I wanted ,Anu abam faxem inkih magdubinniyo,,,,
The two groups are in complete accord ,Woo namma egla duddale tittingey le,,,,
What he says accords with your view ,Usuk iyyam kee ku mabla inkinowtah,,,,
According to Omar there is a house available for rent ,Qumar elle iyyeinnal kira qari yanih,,,,
He will be paid according to his work ,Usuk taama kaak takkeh gidel isi cawal geele,,,,
He understands the problem and will act accordingly," Usuk yan afway cedah, tu elle faxximta-innal abel",,,,
keep my own accounts ,Anu inni mucaasabat abbaasita,,,,
He gave us an account of how the accident happened ,Usuk qawwalayla elle tekkennah gabbaaqo neh abe,,,,
Have you an account at the bank? ,Bankil konti maay lito?,,,,
He doesn’t take me into account ,Usuk kanak yoo mali,,,,
I accounted for my mistake ,Anu innih qellattih sabab xayyoyse,,,,
You must account for the money you spend,Atu teyyeeqe lakqoh cisab xayyoossaama,,,,
You are accountable for the car I am leaving with you, Kol caba baaburut ku guba le  ,,,,
You are accountable for his wellbeing,Kay nagayna ku bada le,,,,
"An accountant is a person who keeps the records of money received, paid and owed ","Mucaasib geytimteh, tewqeh, abuuduh tan lakqo lowsiisa numu",,,,
He gave an accurate assessment of the situation, Usuk yan caalatak numma le miidaanis xayyoyse,,,,
What she said was accurate ,Is intem saciicik tan,,,,
Can you vouch for the accuracy of his statement?, Kay maysaxxaga numma kinnim taxmiqem maay dudda?,,,,
I accused him of lying, Anu dirab kaak malkite,,,,
They questioned the accused ,Oson tu akak malkiten numul esser xayyoosen,,,,
Who is your accuser?, Kok tu malkite num iyyay?,,,,
The accusation made against me was unfounded ,Yol heen geyto gitah makkinna,,,,
I am accustomed to his ways ,Anu kay qaada bariteh,,,,
Apply this ointment for the ache in your back!, A boomaad xiiron kok aba biyaakah ussukut!,,,,
I ache all over ,Xagar inkih yok ducalsitah,,,,
My head aches, Amo yok berrissa,,,,
The traveller achieved his aims ,Gexenti isih faxam araciseh,,,,
Her achievement is remarkable ,Tet agdaabe kaxxànnah meqe,,,,
An acid can burn other materials ,Asiid / Meteki gersi tumammi yakmem duuda,,,,
Lemons have an acid taste,Liimcaamud mulcu tamu le,,,,
Her acid tongue hurt my feelings, Tet gibdi qangara niya yok dananisse,,,,
His father acknowledged his mistakes, Kay abba isi qellat yeelemeh,,,,
My clan doesn’t acknowledge me, Yì kedo yoo maloowitta,,,,
Have you received an acknowledgment of your letter?, Rubte warakatah aalam / aaman may geyte?,,,,
Parents should acquaint their children with the danger of playing with fire ,Xaleena isi xayloh gira digir umaanek lem ken taysixxigeemi,,,,
He and I are acquainted with each other,Yoo kee kaa boorah ixxiga lino,,,,
We have made each other’s acquaintance , Booràh ixxigah tìtta naaxige,,,,
"He is my acquaintance, but he doesn’t know me well ","Usuk yoo boorah yaaxigi ikkalah, kaxxa ixxiga yot le num hinna",,,,
He has acquired a new car ,Usuk qusba baabur gee,,,,
Is this carpet a recent acquisition of hers?, A fiddimah addariyyi teetik qusbah inna,,,,
We live in an acquisitive society ,Addurya le ayyuntih addal sigoh nan,,,,
The court acquitted him of the theft of which he was accused ,Mackamat kaal xayyoosen garqak barih kaa teyyeeqe,,,,
On the day of his acquittal his name was cleared, Kaal heenimik bari yekke saaku yoomeh kaak suge migaq kaak yemqeh,,,,
He went across the road ,Usuk gìtal tabe,,,,
This bed is one metre across ,A kaqaada baguh / tabtabbih inki mitri takke,,,,
They acted quickly ,Oson abeenim sissikuk aben,,,,
That was a wicked act  ,Wohuma abittok sugte,,,,
The second act was amusing ,Nammeyhayto margaqa furkucat luk sugte,,,,
This actor gained great respect,A ransaabe kaxxa konnaba gee,,,,
Which actress plays best?,Gabbaq taysiisem manni ranseenay?,,,,
Now is the time for action,Gaba qido ta waqdi,,,,
His prompt action saved me, Usuk waktil edde ase abto yoo wadde,,,,
My mother is active ,Yi-ina abtaamal carkatta le,,,,
She is an active child, Is hataatabo le awka,,,,
Afar verbs are generally in the active voice, Qafarafih abinitte xeflih abta xongolol kulsi,,,,
Activists provoked discontent ,Tasgayyo wagarisinna uguugusse,,,,
There’s a lot of activity at the wedding house ,Digib elle yakke qaril mango carkatta tan,,,,
"The actual cost of the wedding was 1,000,000 Francs", Digibih nummanummaak tewqe lakqo malyuun faranka tekke,,,,
He is actually related to me ,Usuk nummanummaak ramad yoh le,,,,
He had an acute fever ,Usuk gibdi faarat luk yen,,,,
The problem of poverty here is acute ,Akkel gabaddagiinah calway lafet le,,,,
My mother has acute hearing ,Yi-ina aytixxamca le,,,,
The acuteness of the food shortage affected us all, Maaqiddi aleele waytih gibdinaane nee inkih xagte,,,,
"When he speaks, his Adam’s apple moves ",Usuk yaaba waqdi kaxaaxaqa kaak tangayye,,,,
Children adapt to a new place quickly ,Urri qusba guubut xayih yamcugguye,,,,
Children adapt to a new place quickly ,Urri qusba guubut xayih yamcugguye,,,,
Amina adapted her dress to fit me, Amina isi saro yot elle bictannah massosse,,,,
I am very adaptable to change, Anu qusba caalatat xayih amcugguye,,,,
I myself made an adaptation of this story which I found in a book ,"A hayyeyoonay, buukul ublehiyyat anu inni kabuk qusba bica kee korsa edde abeh",,,,
Add three and five together! ,Sidoc kee konoy tittat hayis,,,,
Write your address and add your telephone number!," Qinwaan isik uktubay, talafoon nibro edde osis!",,,,
He added his advice to theirs,Usuk ken fayut isi fayu osise,,,,
He added his name to the list, Usuk isi migaq roorol osise,,,,
Don’t forget to add sugar to the coffee! ,Bunat sokkar haytam mahabbaalin!,,,,
These figures don’t add up, A loowoh cisab tittal mayamaata,,,,
He can’t do addition ,Usuk ixxim ossisim mayaaxiga,,,,
We don’t want the addition of more problems ,Calway ositina mafanxa,,,,
He is a khat addict ,Usuk gaat suuseena,,,,
His addiction to khat is ruining his health ,Usuk gaatal le radow  qaafiyat kaa daggoysa,,,,
Coffee drinking can be addictive ,Buni maqab kaaribis le,,,,
Give me his address tomorrow! ,Kay guubtiino / sigma beera yoh acee lito!,,,,
Address this letter to my brother! ,A gawaabal yi toobokoytih sigma uktub!,,,,
She addressed me ,Is yol luk yabte,,,,
My mother is adept at making her money go a long way ,Yi-ina le lakqot mango duyye xaamtaamih feerammaqaane le,,,,
Our supply of books is adequate ,Neh yemeete buukaat nee xiqah,,,,
This glue makes things adhere together ,A xankakkabis tumammi tittat xakbissa,,,,
He is an adherent of the opposition ,Usuk sadi marak adoyta,,,,
Adhesion is the ability to stick ,Xakbabbis xankabbimaamih dudda leemih,,,,
You’ll need a strong adhesive to repair that broken chair ,Woo tiddigille korsi yaymaaqu maqar le xankakkabis faxelito,,,,
Put some adhesive tape on the bandage on his wound to make it hold! ,Dalebbagul heeh yan boor rade waamke xankakkabis baasima kaal hayis!,,,,
My mother’s house is adjacent to mine., Yi-inah qari yi qarih xoggat yan / rekaqah yan,,,,
Our house adjoins theirs,Ni qari ken qarit xakabuh yan,,,,
They adjourned the meeting ,Daffeyna wadirrooseenih,,,,
Who will adjudicate between them? ,Ken fan iyyi meklele?,,,,
They need to adjust my seat to my height,Yi korsi yi massal massoysaanam faxximta,,,,
I don’t think he will adjust well to his new job ,Usuk le qusba taamat nagay massowelem makkala,,,,
Who administers the law?, Madqa iyyi gexsiisah?,,,,
The night nurse administers the required medicine to the patients ,Barti madaawissa biyaakita marah diwak faxximtam,,,,
The administration of the law is important ,Madqa gexsiisaanam kulsa le,,,,
The present administration is under fire ,Axayyi xinto assacakkuk yangiicilen,,,,
The hospital administrator is very good ,Osbidaalak xintossaqal nabam meqe,,,,
The admiral of the fleet is coming today ,A saaku baddi qandeh amir yamaate,,,,
We admire his patience,Usuk le sabrì nossokooteh,,,,
The doctor did an admirable job,Daktoor assakat le taama abe,,,,
I am filled with admiration for his work ,"Anu kay toamah, assakat mangintina liyo",,,,
They admitted the child to hospital for his asthma, Àwka isibbi biyaakah osbidaal kaa,,,,
He admitted his failure ,Usuk yefferem isik yeelemeh,,,,
The soldier asked for admission to the hospital ,Qaskariitì osbidaal daylah is culusaanam essere,,,,
His admission that he was a failure came as no surprise to us ,Usuk yeffereemit abe aalam akkale waak sugnem hinna,,,,
His paper is for admittance to the port ,Usuk gabat lem furda culmah idnih warkata,,,,
"The judge will admonish him, and let him go ","Cokmaabeeni kaa sahiteh, kaa ruubele",,,,
Adolescence is a difficult age, Duubaliino karmak gibdi caddo,,,,
The group consisted of adolescents ,Xokon duubalek xissiime,,,,
The childless couple adopted a baby girl, Xaylo sinni baqla kee barra alqì xalayloowitih tabsitte,,,,
The police adopted a policy of zero tolerance ,Boliis cabsimaliino siyaasa loowitte,,,,
Omar adores his wife ,Qumar isi barral luda le,,,,
Her adoration ofher teacher is unwise ,Is isi kabiirih abta rammit mangakasidagnak teetik orobta,,,,
The bride adorned herself with gold ,Qibna dahabat is bilisse,,,,
"This class is for adults, not children ","A fasli qunxa marihim hinnay, amo le marihimi",,,,
Don’t adulterate the butter with oil ,Subac salid aglet madarraqoosin!,,,,
He was accused of adultery,Oson dalwa kaak malkiten,,,,
commandment given to Moses says “Do not / Don’t commit adultery!”, Muusah “Dalwa maabin!” inta merracsenti yontocowwe,,,,
man who takes another woman besides his wife is called an adulterer ,Barra luk mareyta haysita num dalweena xiqsita,,,,
A woman who has another man besides her husband is an adulteress ,Baqla luk mareyta haysitta barra dalweenà xiqsitta,,,,
The government army advanced to meet the enemy, Doolat qande qaduwwit garaytuh bisoh inte,,,,
They advanced the appointment from Thursday to Wednesday ,Kamiisil heenih sugen xagana yuysukumeenih Arbaqal heen,,,,
We watched the advance of the flood waters with apprehension ,Nanu weeqi mamaata bultukut wagitne,,,,
We don’t give advances in salaries ,Nanu maahiyat maysakamal manaca,,,,
We had an arrangement in place in advance ,Miqih akah abne bica luk sugne,,,,
He has an advantage over me ,Usuk yok iysa elle lem / kulsa elle lem le,,,,
There is no advantage in being early, Waqlak yaakumeenimit fayda matan,,,,
I took advantage of his weakness  ,Anu kay boolat intifiqe,,,,
I took advantage of his weakness  ,Anu kay boola inni nafqih orbise,,,,
You’ll find it advantageous to come early ,Waqlah tamaatem fayda lem abletto,,,,
People travel more since the advent of the aeroplane ,Tayyaara biciseenik widiril sahda muxxi safarta,,,,
The four weeks before Christmas are called Advent ,Yaasus edde yooboke saakuh qiidik naharat yan affara ayyaam Masiic Baaho xiqsita,,,,
Some nominalized verbs in Afar behave as adverbs ,Qafarafat miggaaqoysen abinak tu abinì gurrah tandabbe,,,,
He was my adversary in the game Digìril usuk yì feeda yekke,Digìril usuk yì feeda yekke,,,,
We were adversaries in the war ,Nee kee ken carbil abbatxayloh / tittin qaduwwih sugne,,,,
This medicine has no adverse effects ,A diwa katassa umallat mali,,,,
It is better for people to have friends for a time of adversity ,Musiiba tabbixe wakti kataysis luk sugaanam tayse,,,,
The owners advertised their house for sale in the paper ,Mayballaalaqa warkatal le wanna qari limoh yanim yiysixiixigen,,,,
Don’t advertise your weaknesses! ,Atu lito boola isik maysexeexigin!,,,,
The military instructor gave us good advice ,Gobti koroh amriseeni meqe fayu neh yece,,,,
There are two paths open to me please advise me as to the best one! ,"Namma gitay liyok, ku maganak yayse gital yoo fayis!",,,,
It is advisable to drink plenty of water ,Mango lee yaaqubeenim fayda le,,,,
It is good to have a qualified adviser, Ixxiga le fayiseena loonum meqe,,,,
It is good to have an advocate to help in court ,Cokmi marol qokoluh qaxohyaabe loonum meqe,,,,
He advocates the return of capital punishment ,Usuk rabi digaala gacsaanamih qaxoh yaaba,,,,
He is renowned for his advocacy of human rights ,Usuk sahdaytih cakkih qaxohyabtil yamixxige,,,,
I used an adze for cutting the tree trunk ,Caxa daab godmat irgiqe,,,,
The aeroplane is late today,A saaku tayyaara udurrutteh,,,,
A lot of rain fell this summer in the Afar region ,A cagay Qafar rakaakayal kaxxa rob rade,,,,
We saw them coming from afar  ,amaatih ken nuble,,,,
I heard about you from afar ,Allal elle koo oobbeh suge,,,,
The meeting was a stormy affair ,Aben daffeyna kookarow le caagidik ten,,,,
He keeps his financial affairs secret, Isi maalih caagid sirrih yabbixe,,,,
He admitted to having an affair with her ,Usuk fidoxxin tet luk abem yeeleme,,,,
"The rain which fell, badly affected the roads ",Rade rob gititte umannah xage,,,,
He has an affection for his aunt, Usuk isi-annah kalbixayna le,,,,
We are affiliated to that company ,Nanu woo kobbanit fantaaxaw lino,,,,
This kind of affiliation is good for protection ,Annah yan fantaaxaw kalaluh meqe,,,,
There is a close affinity between father and daughter ,Abba kee baxà fanat nabsixayna tan,,,,
He affirmed his intention of joining us ,Usuk nellih yangalu niya lem diggoyseh,,,,
Her affirmation was contested ,Tet diggos yekeelefeeni,,,,
They answered in the affirmative ,Oson kinnal gacisen,,,,
They affixed a notice to the door, Maysaxxaga afat yibbixsiisen / kafisen,,,,
"An affix is added to a word at the beginning, or at the end ","Kafa qangarak naharat takku, widirit takku, ossimtaama",,,,
The disease afflicted him seriously ,Lakimi kaxxam kaa gandiseh,,,,
He bore with his affliction ,Kaa gandise biyak xiqak suge,,,,
A common affliction suffered by the poor is malnutrition, Tumaleelah xeflih gandi takkem salumi,,,,
There’s no need to be afraid ,Meysi loonum mafaxximta,,,,
Djibouti is in the Horn of Africa,Yabuuti Afriikah Gaysat raqta,,,,
The African people are many ,Afriikah ummatta mangoh,,,,
Let’s leave after breakfast ,Miidikalo lakal genxay inxica,,,,
The President came after the police escort, Ummuunoh Abba qaskar walaabak lakat yemeete,,,,
The sun shone day after day ,Ayro saakuuk saaku diifak ten,,,,
"After all my efforts, I failed the exam ",Anu àbba-hee macalih bagul imticaanal radeh,,,,
The keys were found after he had gone ,Mafaatic usuk gexek sarra geytime,,,,
"Omar came on Tuesday, his father came the day after ",Qumar Talaata-saaku yemeeteh kay abba ciggilta ayro yemeete,,,,
I was wrong after all ,Takkay immay anu hoxiseh sug,,,,
The afterbirth didn’t come easily ,Urriina / Urrimalayyi sahlil moobinna,,,,
Come and see my house this afternoon! ,"Amay, a carra yi qari wagit!",,,,
The tea was brought afterwards, Saahi sarra baahen,,,,
I must go there again ,Anu wokke qaguh gexam faxximta,,,,
My mother is back again now,A way yi-ina wadirih tuduureh,,,,
They work against each other ,Oson tittal diddih / saduh taamitan,,,,
The trouble-maker sets people against each other ,Fitneeni sinam tittal haa,,,,
The sailboat went against the wind ,Doonik caacayat dabrih gexxe,,,,
I banged my head against the wall ,Moyya innik gidaarat boodise,,,,
The children have all been vaccinated against measles ,Urruh inkih miniinik aftaboot heen,,,,
What is your age? ,Qùmri kok maa gide? ,,,,
His back was bent with age ,Usuk idoolinni sabbatah corod baahe,,,,
This is the space age A way ,edde nanim qaran bagih dabaana,,,,
I waited an age for you ,Anu xer wakti fan koo qambaale,,,,
"The many extra duties laid upon her, aged her ",Teetil heen fuli fardih mangintina tet idoolisse,,,,
There were several important items on the agenda ,Xagni mascassal kulsa leemik mangom sugte,,,,
We used an agent to deal with our business ,Ni caagiida bicisuh wakiilil cabne,,,,
He works at the shipping agency ,Usuk markab wakaalal taamita,,,,
That child’s chatter aggravates me ,Woo awki le haxufto yoo taskikkiqeh,,,,
Don’t aggravate the situation! ,Tu-iyyaanam lafak malafisin!,,,,
That was unprovoked aggression, Woh sabab sinni warara,,,,
That clerk is aggressive,Woo kattaab xagìt le,,,,
An aggressor is a person or country attacking others first, Baatil baqli num takku baaxo takku naharal migda aysukuminnaanimi,,,,
I was aggrieved by his mistrust ,Usuk yot aba aamine waytik gexxaamah dananeh,,,,
Goats are agile ,Wadar haliffa le,,,,
"Because of his agility, the old man moves like a young man"," Woo idalti haliffa leemih sabbatah, furrayni angoyya le",,,,
The workers agitate the government for more pay ,Taama mari lakqoh osotina geyoonuh doolatal uguugus aba,,,,
He became agitated when the boat was late ,Doonik uduurutte waqdi usuk xakak weeh,,,,
The girl was in a state of great agitation before her exam , Awka imticaan qimbisaamak dumal naba xakakway luk sugte,,,,
The anti-war agitation worried the government ,Carbi saduh yakke uguugutih meysit doolat inti tuqunxe,,,,
An agnostic isn’t sure there is a God ,Yallabadayse Yallih mano mayasmita,,,,
She is agnostic about the government’s education policy ,Is doolat barittoh le makkok is bohoy le,,,,
